"fecha","tempMax","tempMin","descripcion","vientoMin","vientoMax"
"15 Jul","31°","23°","Nubes y claros","16","42"
"16 Jul","33°","23°","Soleado","14","38"
"17 Jul","35°","21°","Soleado","15","37"
"18 Jul","33°","23°","Soleado","14","37"
"19 Jul","31°","24°","Nubes y claros","16","41"
"20 Jul","31°","24°","Nubes y claros","16","41"
"21 Jul","31°","24°","Nubes y claros","15","40"
"22 Jul","32°","24°","Nubes y claros","14","38"
"23 Jul","33°","24°","Soleado","15","39"
"24 Jul","33°","24°","Soleado","15","39"
"25 Jul","32°","24°","Soleado","18","44"
"26 Jul","33°","25°","Nubes y claros","17","44"
"27 Jul","33°","25°","Soleado","14","38"
"28 Jul","34°","25°","Soleado","13","37"
"29 Jul","33°","23°","Soleado","13","38"
"30 Jul","31°","25°","Nubes y claros","15","42"
"31 Jul","31°","24°","Nubes y claros","15","41"
"1 Ago","30°","24°","Nubes y claros","14","41"
"2 Ago","31°","25°","Nubes y claros","16","37"
"3 Ago","30°","23°","Nubes y claros","16","38"
"4 Ago","31°","22°","Soleado","14","33"
"5 Ago","31°","21°","Soleado","15","36"
